Tiempo(s),Temperatura(C)
639.43,50.50
640.25,50.50
641.07,50.50
641.89,50.50
642.71,50.50
643.53,50.56
644.35,50.50
645.17,50.50
645.99,50.56
646.81,50.50
647.63,50.56
648.45,50.56
649.27,50.50
650.09,50.50
650.91,50.56
651.73,50.56
652.55,50.50
653.37,50.50
654.19,50.50
655.01,50.56
655.83,50.50
656.65,50.50
657.47,50.50
658.29,50.50
659.11,50.50
660.16,50.50
660.98,50.50
661.80,50.50
662.62,50.50
663.44,50.50
664.26,50.44
665.08,50.50
665.90,50.50
666.72,50.50
667.54,50.50
668.36,50.44
669.18,50.44
670.00,50.44
670.82,50.44
671.64,50.44
672.46,50.44
673.28,50.44
674.10,50.44
674.92,50.44
675.74,50.44
676.56,50.44
677.38,50.44
678.20,50.44
679.02,50.44
679.84,50.50
680.66,50.44
681.48,50.44
682.30,50.44
683.13,50.44
683.96,50.44
684.79,50.44
685.62,50.44
686.45,50.38
687.28,50.38
688.11,50.38
688.94,50.38
689.77,50.38
690.60,50.38
691.43,50.38
692.26,50.38
693.09,50.38
693.92,50.38
694.75,50.44
695.58,50.44
696.41,50.38
697.24,50.44
698.07,50.38
698.90,50.44
699.73,50.44
700.56,50.38
701.39,50.44
702.22,50.44
